city,count
Belo Horizonte,5535
Juiz de Fora,4769
Contagem,1206
Cataguases,1001
Três Pontas,899
Muria�,726
Una�,480
Varginha,480
Alfenas,470
Betim,452
Uberlândia,421
Conselheiro Lafaiete,380
Sete Lagoas,354
Ipatinga,338
Poços de Caldas,315
Ub�,305
Uberaba,301
Leopoldina,285
Timóteo,284
Divinópolis,283
Paraguaçu,267
Ribeirão das Neves,257
Montes Claros,225
Ouro Preto,224
Itajubá,222
Vi�osa,210
Vespasiano,209
Barbacena,207
Santa Luzia,203
Governador Valadares,187
Ibirit�,163
Santos Dumont,159
Nova Lima,152
Itabira,141
Pouso Alegre,139
Pará de Minas,139
Coronel Fabriciano,129
Sabará,128
Paracatu,121
Tr�s Cora��es,114
Lagoa Santa,109
Itaúna,105
São João Del Rei,96
São Lourenço,94
Santa Rita do Sapucaí,93
Teófilo Otoni,93
Pedro Leopoldo,92
Boa Esperança,87
Lima Duarte,78
Nepomuceno,74
Caxambu,74
Araguari,72
Lavras,72
Lagoa da Prata,72
Caputira,69
Araxá,68
Campo Belo,64
Congonhas,64
São Sebastião do Paraíso,62
Patos de Minas,59
Guaxupé,58
Ponte Nova,58
João Monlevade,57
Patrocínio,55
Esmeraldas,53
Formiga,51
Arcos,50
Itabirito,48
Sarzedo,47
Caratinga,47
João Pinheiro,45
Curvelo,44
Ouro Branco,44
Caeté,43
Santana do Paraíso,43
Machado,40
Matias Barbosa,39
Diamantina,38
Almenara,38
Mariana,38
Além Paraíba,38
Elói Mendes,37
Nanuque,35
Extrema,35
Arantina,32
Senhora da Glória,31
Corinto,31
Rio Novo,31
São José da Lapa,30
Visconde do Rio Branco,30
Simão Pereira,29
Rio Acima,29
Pirapora,28
Manhua�u,27
Salinas,25
Passos,24
Miraí,24
Lambari,23
Cruzília,23
Aimorés,22
Oliveira,22
Rio Pomba,22
Jana�ba,21
São João Nepomuceno,21
Nova Era,20
Mateus Leme,19
Januária,18
Piumhi,18
Jacutinga,18
Santa Bárbara do Leste,17
São Gotardo,17
São Gonçalo do Sapucaí,17
Santana de Cataguases,17
Águas Formosas,17
São Francisco de Sales,17
Brumadinho,17
Coromandel,17
Pedralva,17
Pompéu,16
Andradas,16
Itamarandiba,16
Antônio Carlos,16
Mantena,15
Monte Carmelo,15
Rio Piracicaba,15
